ref_id	ref_sent	ref_len	czeng_s
0	I am at your service.	5	4.316
1	You people think of everything.	5	0.868
2	Not even my father dares.	5	0.58
3	My duty is to heal.	5	1.143
4	There's nothing without a woman.	5	0.621
5	This is highly irregular procedure!	5	0.985
6	It didn't mean anything, okay?	5	0.511
7	He's getting out of hand	5	0.104
8	She's having a baby, okay?	5	0.478
9	The greatest of all things.	5	0.134
10	And when she looked behind her, I'd always be there	10	0.242
11	I think thought, mathematical thought, can exist completely without words.	10	0.47
12	If I didn't come with you,none of this would've happened.	10	0.769
13	4.7 Public understanding, involvement and acceptance – information and transparency.	10	1.45
14	"I ""went out for ice cream"" once with your dad."	10	1.381
15	I think your two best friends are a little chatty.	10	3.308
16	She hid his football, so he snatched her favorite hat.	10	3.031
17	"But you find the doc and he'll fix you up."""	10	1.645
18	Didn't you tell my brother that he was expected here?	10	2.619
19	A couple of old friends got into town, from Stockholm.	10	1.358
20	It will give priority to initiatives that will help achieve the MDGs and increase the availability of global public goods.	20	2.311
21	'Cause I'm one funny man I bring the comedy I am the one you go to, to get cheered up	20	1.952
22	We've just learned that the letter we believed to be from the Caveman... ...is, in fact, a very clever forgery.	20	1.419
23	They should widely publicise, when duly validated, data and findings on their biological effects, be they positive, negative or null.	20	0.719
24	If my son should come back and your father isn't here... ...it might be betterif you didn't let him in.	20	0.482
25	(46) The applicant argued that the model sold in the analogue country had higher specifications which affected the price comparability.	20	0.854
26	DOB: 1952 Former Minister of Justice (2009-2013), former Isfahan governor-general and director of the State Prisons Organisation (until June 2004).	20	1.727
27	The recommended starting dose is 60 mg three times daily before meals, particularly in patients who are near goal HbA1c.	20	0.915
28	Objectives Maximum aid intensity in % or Maximum aid amount in national currency SME-bonuses in % Specific training (Art. 38(1))	20	1.39
29	But the [mighty] blast did seize the wrong- doers, and they lay prostrate in their homes by the morning,- 95.	20	0.623
30	Reservations contained in the declarations of the Directors-General In their declarations attached to the annual activity reports, the Directors-General state that the internal controls carried out in their departments offer reasonable assurance that the underlying transactions are legal and regular.	40	1.996
31	Fain would the powers from outside bring chaos and horror to you, Randolph Carter, who are the cause of their upsetting, but that they know it is by you alone that the gods may be sent back to their world.	40	2.026
32	Competition Ensure further alignment of primary and secondary legislation so as to allow effective anti-trust and State aid control with binding decisions applicable to all economic sectors and, as regards State aid, for both aid schemes and individual aid measures.	40	2.09
33	“Microorganisms” (1 2) means bacteria, viruses, mycoplasms, rickettsiae, chlamydiae or fungi, whether natural, enhanced or modified, either in the form of “isolated live cultures” or as material including living material which has been deliberately inoculated or contaminated with such cultures.	40	1.009
34	104 It must therefore be concluded that the fact that the purpose of the questionnaire making up Annex I to the contested decision is to secure fresh information or more detailed information is proof that the information requested is necessary.	40	2.732
35	It is necessary in the context of a process which was initiated in 1995 to make further progress in the actual establishment of the Natura 2000 network, which is an essential element of the protection of biodiversity in the Community.	40	3.272
36	All other information relevant for the selection of the sample as referred to in 5.1(a)(iv) must reach the Commission within a period of 21 days of the publication of this notice in the Official Journal of the European Union .	40	2.696
37	79), that latter being subject to different rules from those which frame judicial cooperation in administrative and fiscal matters, the procedure before the tax authorities or the subsequent notification of decisions are governed by the laws of the Member States.	40	0.35
38	In the first place, as the selectivity criterion was based on a comparison between two groups of firms (those given the advantage and those not given the advantage), it could only be applied after defining a level of ‘normal’ taxation.	40	1.713
39	This Protocol shall enter into force for the Contracting Parties which have expressed their agreement to be bound by the said Protocol three months after the date on which three States have deposited their instrument of ratification, acceptance or approval.	40	0.775
40	I've known Miguel since childhood.	5	0.264
41	I'm in a giving mood.	5	1.058
42	Exacerbation of pre- existing diabetes	5	3.742
43	Nobody asked you to chaperone.	5	3.861
44	So, everything to your daughter.	5	5.149
45	"Experiments on plant hybrids... """	5	2.646
46	It made for unpleasant reading.	5	2.872
47	Czech civic parties at crossroads	5	5.346
48	We're technically still on lockdown.	5	1.154
49	Scotch and plain water, please.	5	1.597
50	Some sort of tracking system.	5	1.694
51	(e) articles of heading 4202;	5	0.099
52	I'm not having gay thoughts.	5	1.486
53	I heard the whole story.	5	0.282
54	"""Sailing on the wide accountancy"""	5	3.322
55	The phone lines went dead.	5	4.14
56	I've tried to give pleasure.	5	2.421
57	Starting today, and for ever.	5	2.169
58	I can't talk to you.	5	0.767
59	You weigh a million pounds.	5	0.281
60	Came in over the scanner.	5	2.577
61	-Hasn't changed in five minutes.	5	2.177
62	So you won't marry again?	5	1.539
63	Tragic irony or poetic justice?	5	1.691
64	Ann rose from her chair.	5	5.463
65	Does the statute of limitations on my father's threat expire?	10	2.494
66	I think that is quite enough pictures of the cheerleaders.	10	1.452
67	Yeah, then we'll finally have closure, no thanks to you.	10	1.631
68	He has problems because he has a father like me.	10	1.148
69	Okay, $55 million depends on getting signatures, so let's go.	10	4.041
70	And has Lord Flintshire's order been acted on? It has.	10	2.832
71	Can't even walk, but likes to play with a knife.	10	3.385
72	How long will it take to get to the moon?	10	1.268
73	How about I bring my laptop, speakers, add a drumbeat?	10	1.251
74	May I congratulate you, sir, on your elevation to Cardinal?	10	0.738
75	Always take Lansoprazol-CT exactly as your doctor has told you.	10	2.388
76	Well, at least he'd taken care of his primary function.	10	1.841
77	Specific impacts of possible new actions or measures 7.2.1 .	10	0.573
78	(d) any specific conditions relating to points (a) to (c).	10	0.247
79	He is also my son, and I am half human.	10	1.156
80	One liar down, six and a half billion to go.	10	0.923
81	You may not be able to trust him not anymore	10	2.725
82	It was right there on the tip of my tongue.	10	1.461
83	Looks like it's finally time for Kal-El to go home.	10	0.796
84	I'm a brother to you, I know how you feel.	10	0.418
85	Big picture of him here as a handsome young spunker.	10	3.677
86	Effect of idelalisib on the pharmacokinetics of other medicinal products	10	0.653
87	Madison's right... we're looking at some serious jail time, Mike.	10	1.998
88	No, they also say it can be used for drivers.	10	1.685
89	Stocrin can reduce the amount of statins in your blood.	10	0.224
90	We're going to go to different countries and eat strange foods just like all those dorky TV channels you watch.	20	2.391
91	Uh-uh. The reason I ask is, Mr. Ashbaugh seemed to trust you with the witnessing of such an important document.	20	1.333
92	As she had feared, and expected, the Assembly had voted to accept the cessation of hostilities brokered by the Cogitors.	20	1.095
93	By-catches Authorised Not authorised 3 % of the total for the authorised target species or group of species (live weight)	20	0.532
94	The wolves clustered around the base of the tree looked up with interest at their next meal talking to himself.	20	1.803
95	We don't have confirmation, but there's a good chance Perez is hiding out in a private club in Lukenwalde, Germany.	20	1.57
96	Gentle saw the tears shining in the mystif's eyes and felt its suffering like a hammer pounding at his heart.	20	1.215
97	Paediatric population The safety and efficacy of Iclusig in patients less than 18 years of age have not been established.	20	0.321
98	In these patients the recommended dose is 5 mg taken once a day at approximately the same time of day.	20	0.934
99	"""Speaking of that,"" Aahz called, ""I'm still waiting to hear how you're going to get me out of this thing."	20	0.546
100	They probably would have loved my pizza, too, but we'll never know, because my partner threw it in the garbage.	20	0.808
101	CHAPTER IV INSPECTION AND SURVEILLANCE AT SEA SECTION 1 General provisions Article 39 General rules for inspection and surveillance 1.	20	0.444
102	Similar instruments would also need to be developed to monitor the implicit liabilities of pension schemes operating at national level.	20	0.658
103	Subject: Introduction of bilingualism in the Resia, Torre and Natisone Valleys in Udine Answer from the Commission (17 February 2009)	20	0.361
104	When my superiors questioned me about my disappearance, they exhibited a degree of suspicion and intolerance bordering on the paranoid.	20	0.689
105	The current legislation in place for recording equipment is Council Regulation (EEC) No 3821/85 on recording equipment in road transport[2].	20	0.572
106	He looked just as he had that last day at the citadel, when they had kissed for the last time.	20	0.912
107	Look, next time, just let me know what you're doing first so I can at least prepare for the fallout.	20	0.928
108	Oh no, you don't say so! - I?s true, otherwise I wouldn't be telling you, if it were not true!	20	2.475
109	It explains how the Agency assessed the medicine to recommend its authorisation in the EU and its conditions of use.	20	0.077
110	San Cristóbal está... Se va usted por aquí, da la vuelta, sube y un poco más adelante está San Cristóbal.	20	5.566
111	Our marriage works because I decided several years ago to accept certain things about you, and I've dealt with it.	20	1.332
112	(k) lamps or lighting fittings of heading 9405; (l) brushes of a kind used as parts of vehicles (heading 9603).	20	0.877
113	(b) provisions regarding the quality of raw materials; (c) hygiene requirements; (d) permitted changes within the meaning of Article 3(2);	20	1.679
114	Deckhands cast off the boat's mooring warps, and vibration in the deck betokened the operation of a small auxiliary engine.	20	2.662
115	The term encompasses activities such as monitoring of the present legal environment, of the progress of drafting of laws, regulations and decrees by the executive and their later discussion in the Chamber of Deputies and Senate of the Czech Parliament.	40	2.357
116	P. whereas the EU should actively defend its industries, whenever necessary, against violations of agreed rules, WTO standards and principles by its trading partners, using all available means, including multilateral and bilateral dispute settlement mechanisms and WTO-compatible trade defence instruments;	40	0.578
117	"It was easier with a John Williams movie score, where the music so perfectly accompanied the action, but Bach hadn't known about moving pictures, and so he must have been ""talking about"" things that his original audiences would have recognized."	40	1.816
118	All of the currently known directives in the field of consumer protection, as transposed into national law by the Member States, would therefore be made more effective by the recognition of collective actions in the fields covered by these directives.	40	1.671
119	There's fried chicken with all the fixings, and veggie lasagna for all you poor non- meat eaters, and, Arash, honey, I didn't know what you are, so I made you some enchiladas and some Pad Thai and some Baba Ghanoush.	40	1.559
120	of which the sole activity consists of refining imported raw cane sugar, or which refined in the marketing year 2004/2005 or, in the case of Croatia, 2007/2008 a quantity of at least 15 000 tonnes of imported raw cane sugar.	40	0.859
121	The Member States concerned shall cooperate with the European Coordinator and give the Coordinator the information required in order to perform the tasks prescribed in this Article, including information on the development of corridors in any relevant national infrastructure plans.	40	0.952
122	Of course, technically he'd been beyond his law since leaving Anhk-Morpork, but laws were where you could make it stick and these days a City Watch badge would at least earn respect, if not actual cooperation, everywhere on the plains.	40	2.504
123	The Commission also published a notice regarding the notification in the Official Journal of the European Union ( 2 ) in order to inform other interested parties of Austria’s national provisions, as well as the grounds invoked to that effect.	40	0.454
124	Within his gelcircuitry brain, Seurat encountered a thought that was not his own: an Omnius implant, one of thousands in the independent robot's subset of databases that guided him along the proper paths, as constructed for him by the evermind.	40	1.341
125	This includes the drugs action plan, the strategy covering the external aspects of the area of freedom, security and justice, and the action plan to fight against terrorism, which supplement the Hague Action Plan, in accordance with the set timetable.	40	1.206
126	The manufacturer may apply for an EU type-approval in respect of a type of system, component or separate technical unit that incorporates new technologies or concepts which are incompatible with one or more acts or requirements listed in Annex I.	40	3.703
127	In order to achieve the objectives referred to in paragraph 1 and without prejudice to the responsibilities of the Member States with regard to national routes and airspace structures, the Commission shall ensure that the following functions are carried out:	40	0.478
128	Two of the most extreme cases (but not the only ones) are Argentina and Venezuela, countries that have benefited from high prices for their exports but have managed to miss the highway to prosperity by turning onto a dead-end street.	40	1.142
129	The European Data Protection Supervisor was consulted in accordance with Article 28(2) of Regulation (EC) No 45/2001 of the European Parliament and of the Council ( 12 ) and delivered an opinion on 23 April 2012 ( 13 ) .	40	0.151
130	Your senseless peccadilloes, such as your refusal to use a noiseless typewriter, are a confounded nuisance, but this idiotic accusation that you lied in that report to Mr. Pine has put me in a different frame of mind about it.	40	1.555
131	Their trade effects will be moderate because, although immediate economic effects are to be expected, alternative exchange mechanisms can be found in the medium term and at the end no shortage in supplies is to be expected within the EU.	40	1.417
132	C_2014159EN.01002901.xml EN Official Journal of the European Union C 159/29 Appeal brought on 21 February 2014 by Catherine Teughels against the judgment of the Civil Service Tribunal of 11 December 2013 in Case F-117/11 Teughels v Commission (Case T-131/14 P)	40	0.193
133	As further evidence, during the public consultation prior to the recast of the Directive, issues relating to the security and protection of personal data have sometimes been raised by stakeholders, particularly IT and electronic communications companies ( 16 ) .	40	1.014
134	Domestic sales of a particular type were considered sufficiently representative when the total domestic sales volume of that type during the IP represented 5 % or more of the total sales volume of the comparable type exported to the Community.	40	0.53
135	Given that such method of comparison is an exception to the two first methods provided for in Article 2(11) of the basic Regulation, the Commission carefully checked whether the conditions to resort to it were clearly met in this case.	40	0.901
136	Efficient funding and evaluation Examine funding mechanisms and evaluation systems, with a view to improving quality, including targeted support to disadvantaged citizens and the development of efficient and equitable tools aimed at mobilising private investment in post-secondary education and training.	40	0.695
137	This will be enhanced by stimulating intersectoral experiences through active participation of industry, in all the actions and by putting in place the dedicated scheme for knowledge sharing in partnerships between the public and private sector, including in particular SMEs.	40	1.22
138	Personal notification is not the only means of informing those concerned, but it must at least be attempted first, and there is nobody better placed to do so than the person in possession of the relevant records of aid granted.	40	3.832
139	The derogation will only have a negligible effect on the overall amount of tax collected at the stage of final consumption and will not have an adverse effect on the Union's own resources accruing from VAT, HAS ADOPTED THIS DECISION:	40	0.425
140	And I really wanted to...	5	1.493
141	"""Hey, nice shade of flugu."""	5	1.132
142	She won't talk to me.	5	0.627
143	We're a friggin' sitting duck.	5	2.379
144	Back away from the table.	5	0.634
145	She was a good daughter-in-law.	5	0.495
146	She took my gold card.	5	0.594
147	Tyler, two shots of bourbon.	5	0.428
148	The ice cream is melting.	5	0.75
149	A dawn-of-time kind of dude.	5	3.585
150	She called from the hospital.	5	0.352
151	These discounts are listed below:	5	0.73
152	His eyes look strangely Nipponese.	5	2.182
153	You didn't talk to anyone.	5	0.672
154	I thought maybe your name.	5	2.243
155	Nobody touches this boy anymore!	5	1.48
156	'Say between nine and ten.'	5	0.547
157	The one born of wolves.	5	0.555
158	Let me check once again.	5	2.218
159	Any side effects or anything?.	5	2.159
160	Has he gone completely mad?	5	1.495
161	Hey, whatcha in for, sweetheart?	5	1.881
162	I lost my fucking job.	5	0.917
163	I took this by mistake.	5	1.17
164	The hatches leak like crazy.	5	3.443
165	You remember last Tuesday night?	5	0.861
166	So...You're in an open relationship?	5	2.098
167	I was kind of tired.	5	1.416
168	“One point five, aye, aye.”	5	1.796
169	Not on a four-hour layover.	5	1.481
170	Ladies and gentlemen, young people.	5	0.275
171	You talked to the superintendent?	5	2.073
172	You three need new gigs.	5	1.995
173	I've never seen her frightened.	5	0.952
174	Well, here's to true love.	5	0.901
175	I tried to keep up.	5	1.521
176	I forgot to say please.	5	1.404
177	What'd you guys fight about?	5	1.121
178	Revenge for some past operation?	5	2.014
179	You're confusing humility, with humiliation.	5	0.946
180	You can't live without principles.	5	0.494
181	No explosives, no foreign objects.	5	0.222
182	My cowboy days are over.	5	4.012
183	That's your basic egg sac.	5	2.965
184	You work... for my mother	5	1.235
185	No one seems very interested.	5	1.264
186	You don't even love yourself.	5	1.649
187	Cachat listened to the delegation.	5	2.806
188	The escape device is ready	5	5.105
189	He's about to find out.	5	1.58
190	Those cuts on your arm?	5	1.012
191	Exporting selected audio as %s	5	3.386
192	We're a legitimate cleaning service.	5	1.362
193	for the financial year 2011	5	0.564
194	Take care of that cut.	5	3.373
195	She never saw it coming.	5	1.764
196	Are you sorry, at least?	5	1.048
197	It's written in the ledger.	5	1.234
198	Shows some raw talent, son.	5	2.598
199	You can't police our lives.	5	1.303
200	I'm reading 30 humanoid inhabitants.	5	1.481
201	There's no point in arguing.	5	2.21
202	You mean 'n hobby oderwas?	5	5.367
203	(see para. 22, operative part)	5	0.183
204	Only moments count in life.	5	2.107
205	We got you a lovelyparting gift for your first mission.	10	2.678
206	One doesn't detect the tiniest trace of jealousy, does one?	10	2.683
207	The men had been quieter than usual during the game.	10	1.699
208	"""Do you want me to lift the cover?"" she asked."	10	0.552
209	I heard Finch's mom doesn't even know where he is.	10	0.32
210	Her arrival had forced soldiers to scatter, if only momentarily.	10	2.837
211	And it's perfect timing. It's mine and Jake's three-month anniversary.	10	0.828
212	Ithink you're goingto turn out to be a grade-A baby-sitter.	10	2.16
213	Are you the woman who called me on the phone?	10	1.361
214	The Sith was the best fighter Darsha had ever seen.	10	0.256
215	In reference to-- ...in reference to the disappointment I feel--	10	2.918
216	Could knowing the truth about Death lead to our ruin?	10	5.755
217	But it was still the best time of my life.	10	1.902
218	be established as well as a reserve list (if applicable).	10	1.895
219	In addition the instructions for use were missing or incomplete.	10	1.043
220	"""Enki must have been responsible for that one,"" Hiro says."	10	1.143
221	Well, I know that you can't open a childproof drawer.	10	1.29
222	I believed, like everybody else, the Aschen were our saviours.	10	0.595
223	It was possible to lift the rings off the spikes.	10	2.689
224	I thought I saw someone in the bedroom and outside.	10	0.526
225	"""No,"" Jim denied, ""he's in the infirmary now, just wounded."	10	1.395
226	(Jethro) Are you missing the concrete beneath your feet, bro?	10	2.549
227	Two or Three more things and we're in great shape.	10	2.209
228	No one shall be held in slavery or ser vitude.	10	2.822
229	He barely mumbled something that might have been a greeting.	10	1.764
230	I didn’t want to get into the whole novel-length version.	10	2.26
231	The next morning Morrison and Dezhnev returned to the Grotto.	10	0.278
232	Dry flaky skin was observed in toxicity studies in rats.	10	1.576
233	Some strange men have been following me since last night.	10	1.065
234	These excursions at the same time afforded opportunities for hunting.	10	1.669
235	Eli checked himself into a rehabilitation hospital in North Dakota.	10	1.074
236	That takes a crystal ball, Doug, not an eight ball.	10	1.968
237	I told her I was proud to work for them.	10	0.584
238	"""Everything could be over two hours from now,"" Ramirez said."	10	0.939
239	The financial difficulties of SAS apparently became unsustainable in 2012.	10	0.606
240	You're cut off from life, and we want to help.	10	3.337
241	We're waiting for Jim to get back from the clinic.	10	0.388
242	You think I can't get a girl on my own.	10	3.279
243	I... didn't mean to interfere between you and your girlfriend	10	1.696
244	He's been meeting recruits in coffee shops all over town.	10	2.058
245	Lopinavir/ritonavir/Tenofovir disoproxil fumarate (400 mg b.i.d./100 mg b.i.d./300 mg q.d.)	10	0.51
246	OFFICER: Keep your eyes wide, this place is assholed up.	10	3.208
247	Remember I told you someone made out with Ralph Lauren?	10	2.939
248	Tom made a noise of disgust and left the room.	10	1.168
249	We were sailing north, not northwest when they seized control.	10	1.806
250	3 Click Rename, enter a new name, and click OK.	10	0.207
251	All right now, you listen to me, both of ya!	10	1.89
252	Nice practice. Excuse me, K.C. Do you give private lessons?	10	1.831
253	At least we stopped you from getting the pension fund.	10	2.187
254	History will judge who the true patriots were here today.	10	1.987
255	Henry told me how to take it out of autopilot.	10	0.994
256	Because this woman right here - is my secret weapon.	10	1.763
257	six five -Son of a bitch! four three two one	10	4.91
258	Well, in that case. Where's the man of the house?	10	3.543
259	Those contracts were concluded for a period of eight years.	10	0.695
260	Did you really think I wouldn't know my mother's voice?	10	0.376
261	Tell me, Galead, do you desire me for an enemy?'	10	0.955
262	The crazy, impulsive vampire, in love with his brother's girl.	10	0.708
263	Doesn't she have her hands full with this plane crash?	10	1.192
264	We both had the professor for Ethics and Morality. Yeah?	10	1.597
265	Material damage resulting from the machine tipping over and falling.	10	1.407
266	She told me that the drugs had never helped her.	10	1.365
267	I wish I could reward Gleb with better than silver.	10	2.287
268	I came to tell you you have to leave Anatevka.	10	0.454
269	I'll have Janine make a reservation somewhere nice, like the...	10	1.129
270	We don't want money, just a little time... ...a look at a book or two, a study of your maps.	20	1.281
271	We couldn't ask file Judge for a continuance because the client had been waiting four years for a trial date.	20	1.729
